obj_id,type,category,redshift,ztfg_peak_time,ztfg_peak_mag,ztfr_peak_time,ztfr_peak_mag,ztfi_peak_time,ztfi_peak_mag,ztfg_peak_gr_color,ztfg_peak_gi_color,ztfr_peak_gr_color,ztfr_peak_ri_color,ztfi_peak_gi_color,ztfi_peak_ri_color,ztfg_fwhm,ztfr_fwhm,ztfi_fwhm,ztfg_rise_hwhm,ztfr_rise_hwhm,ztfi_rise_hwhm,ztfg_fade_hwhm,ztfr_fade_hwhm,ztfi_fade_hwhm,ztfg_rise_duration,ztfg_rise_rate,ztfr_rise_duration,ztfr_rise_rate,ztfi_rise_duration,ztfi_rise_rate,ztfg_fade_duration,ztfg_fade_rate,ztfr_fade_duration,ztfr_fade_rate,ztfi_fade_duration,ztfi_fade_rate
ZTF20aclfmwn,IIb,IIb,0.038,0.0,-16.40860832846507,0.0,-16.465605816757563,,,0.05699748829249174,,0.05699748829249174,,,,8.096921400167048,8.096921400167048,,,,,4.048460700083524,4.048460700083524,,,,,,,,1.9978890141553327,0.09622784900164581,1.9978890141553327,0.03573910826658123,,
ZTF20acozryr,Afterglow,Afterglow,1.105,0.0,-24.9824989614102,0.0,-25.15987921031776,,,0.17738024890756066,,0.17738024890756066,,,,1.953101799823344,1.953101799823344,,,,,0.976550899911672,0.976550899911672,,,,,,,,0.976550899911672,0.5417114968818363,0.976550899911672,0.6224832563971482,,
ZTF20acqntkr,Ia,Misc SNe,0.015661,0.0,-16.269156260499706,0.0,-16.658149921316223,,,0.3889936608165172,,0.3889936608165172,,,,19.904783912835544,19.904783912835544,,,,,9.952391956417772,9.952391956417772,,,,,,,,1.961062454466556,0.02303569282846581,1.961062454466556,0.018821325076394706,,
ZTF20actqnhg,IIb,IIb,0.031,20.305028344633183,-18.06798153863192,20.65511504023031,-18.49566546679332,,,0.4268169619157405,,0.4288361203501765,,,,20.154991189377277,20.455065499889095,,10.502600867913715,11.15276187402266,,9.65239032146356,9.302303625866433,,20.305028344633183,-0.07128683767833058,20.65511504023031,-0.09749822179900033,,,1.950483018326839,0.019656996116012602,1.9504830183268353,0.013760449988282415,,
ZTF21aaabrpu,IIb,IIb,0.027172,0.0,-16.375702702481313,7.988241937932548,-16.21681311190173,7.988241937932548,-16.28161169562276,-0.6223443877942838,-0.8818538698505485,0.18183648011761377,0.06479858372103209,0.24663506383864586,0.06479858372103209,15.976483875865096,15.976483875865096,13.979423391381959,,7.988241937932548,6.989711695690979,7.988241937932548,,,,,,,,,,,1.997060484483137,0.05911469346918228,1.997060484483137,-0.04858507913432496
ZTF21aaabwfu,IIb,IIb,0.010929,0.0,-14.432140563509854,0.0,-15.011542044700413,0.0,-15.314300546728887,0.5794014811905583,0.882159983219033,0.5794014811905583,0.30275850202847465,0.882159983219033,0.30275850202847465,9.578351682907826,11.972939603634783,11.972939603634783,,,,4.789175841453913,5.986469801817392,5.986469801817392,,,,,,,1.9954899339391303,0.1217574336292993,1.9954899339391303,0.10645339991252559,1.9954899339391303,0.0487895628437452
ZTF21aabxjqr,IIb,IIb,0.03317803,0.0,-17.149862864801435,0.0,-17.035386069361458,,,-0.1144767954399768,,-0.1144767954399768,,,,4.219235901539032,6.328853852308548,,,,,2.109617950769516,3.164426926154274,,,,,,,,1.9777668288464207,0.3502873147904548,1.9777668288464207,0.26052923448188403,,
ZTF21aagwbjr,Afterglow,Afterglow,0.876,0.0,-24.2052662840776,0.0,-24.43268154475841,0.0,-24.40869227753714,0.22741526068081086,0.2034259934595397,0.22741526068081086,-0.02398926722127115,0.2034259934595397,-0.02398926722127115,3.2001096717276805,3.0355997498028793,3.247112506563338,,,,1.6000548358638402,1.5177998749014396,1.623556253281669,,,,,,,1.9564930000342429,0.5510791661345886,1.9564930000342429,0.6012702022096583,1.9564930000342429,0.5327612394110431
ZTF21aapkbav,IIb,IIb,0.036,0.0,-16.037285692075944,0.0,-16.082809456204412,0.0,-15.95220862050634,0.04552376412846826,-0.08507707156960365,0.04552376412846826,-0.1306008356980719,-0.08507707156960365,-0.1306008356980719,11.981580831923402,9.426684919233853,11.981580831923402,,,,5.990790415961701,4.713342459616927,5.990790415961701,,,,,,,1.982246828810857,0.1403876960140306,1.982246828810857,0.19117115886256136,1.982246828810857,0.14560702061369857
ZTF21aaqzrat,Novae,Galactic,0.0,1.226523129929517,16.80886524187804,1.226523129929517,16.96463347622655,1.226523129929517,17.252773946307364,-0.1557682343485105,-0.44390870442932595,-0.1557682343485105,-0.28814047008081545,-0.44390870442932595,-0.28814047008081545,1.9023624056049662,2.152673248447724,2.628263849848965,0.8510568656653791,1.0012433713710343,1.226523129929517,1.0513055399395872,1.1514298770766895,1.401740719919448,1.226523129929517,-1.4076515765630315,1.226523129929517,-0.9281285696341566,1.226523129929517,-0.6078805326146353,1.8523002370364134,0.7379050068325409,1.8523002370364134,0.7087174041160279,1.8523002370364134,0.4852723146553479
