object,redshift,class,captures_ztfg_rise,captures_ztfg_fade,captures_ztfr_rise,captures_ztfr_fade,has_ztfi,ztfg_rise,ztfg_fade,ztfr_rise,ztfr_fade,ztfi_rise,ztfi_fade,usability,notes,citation
ZTF23aaxeacr,0.36,Afterglow,n,m,n,m,n,,60169-60170,,60169-60170,,,3,sdss data covers rapid fade,https://www.wis-tns.org/object/2023pel
ZTF23aaxzvrr,0,Novae,n,m,n,y,n,,,,60171-60174,,,3,rapid fade; some sdss data,https://www.wis-tns.org/object/2023prq
ZTF23abbfrqp,,,n,n,n,m,n,,,,60193-60195,,,3,sdsr suggests ztfr may not be fade; not in lasair,https://www.wis-tns.org/object/2023sem
ZTF23abceaxk,,,n,y,y,y,n,,60195-60205,60190-60201,60200-60205,,,5,seems to have rapid rise in r; rapid fade in g and r and sdssr,https://lasair-ztf.lsst.ac.uk/objects/ZTF23abceaxk/
ZTF23abcynsv,0.119,,n,m,m,m,y,,,,,,,1,very noisy; host galaxy redshift,https://lasair-ztf.lsst.ac.uk/objects/ZTF23abcynsv/
ZTF23abeqble,,,n,y,n,y,n,,60204-60220,,60204-60215,,,4,moderately rapid fade; possible TDE according to ATNF (CX538),https://lasair-ztf.lsst.ac.uk/objects/ZTF23abeqble/
ZTF23abgsmsg,0,Novae,m,y,y,y,y,60210-60215,60214-60220,60210-60215,60214-60220,,60210-60225,4,rapid rise; slow fade; could be dwarf nova in MW,https://www.wis-tns.org/object/2023tmh
ZTF23abhxvun,,Novae,n,n,n,n,n,,,,,,,1,low quality; potental M31 Nova,https://lasair-ztf.lsst.ac.uk/objects/ZTF23abhxvun/
ZTF23abhyqqs,,orphan,n,y,n,n,n,,60221-60224,,,,,3,rapid fade; paucity of data,https://lasair-ztf.lsst.ac.uk/objects/ZTF23abhyqqs/
ZTF23abjwgre,0.0231,IIP,n,m,y,n,y,,60245-60250,60230-60236,60246-60251,60230-60246,60245-60250,3,data is somewhat noisy but covers all bands at approximately same time; listed r rise is not full rise; full rise from 60230-60247 but only rises from 19 to 18.6 or so from 60240-60247,https://www.wis-tns.org/object/2023vcg
ZTF23abnpdod,0,Cataclysmic,y,y,y,y,y,60244-60248,60247-60260,60244-60248,60247-60260,60245-60250,60248-60260,5,rapid rise; less rapid fade,https://www.wis-tns.org/object/2023vxs
ZTF23abobwsd,0.024,IIb,n,m,n,m,y,,60250-60258,,60250-60258,,60249-60259,3,second bump,https://www.wis-tns.org/object/2023wdd
ZTF23abpxorf,,orphan,n,y,n,y,n,,60255-60265,,60255-60265,,,4,rapid fade,https://lasair-ztf.lsst.ac.uk/objects/ZTF23abpxorf/
ZTF23abrzabc,,Novae,n,y,n,y,y,,60284-60286,,60284-60286,,,3,weird spike during fade; M33 source,https://www.wis-tns.org/object/2023ypg
ZTF23absafzo,0,Novae,n,n,n,n,n,,,,,,,0,no data,https://www.wis-tns.org/object/2023yoa
ZTF23absajre,,,n,n,n,y,n,,,,60284-60290,,,4,rapid fade; not in lasair,https://www.wis-tns.org/object/2023zgs
ZTF23absbqun,0.0101,Ib,y,y,y,y,n,60284-60288,60286-60290,,60285-60295,,,5,rapid rise and fade; lots of sdss and atlas data,https://www.wis-tns.org/astronotes/astronote/2023-335
ZTF23abtycgb,0.020127,II,n,m,n,m,n,,60292-60295,,60292-60295,,,2,low quality,https://www.wis-tns.org/object/2023zzk
ZTF24aabqdol,,orphan,n,y,n,n,y,,60322-60328,,,,,3,moderate fade,https://lasair-ztf.lsst.ac.uk/objects/ZTF24aabqdol/
ZTF24aaekhtc,,,n,n,n,y,n,,,,60351-60355,,,3,moderate fade,https://lasair-ztf.lsst.ac.uk/objects/ZTF24aaekhtc/
ZTF24aafuvmu,,orphan,y,y,n,y,y,60355-60360,60358-60365,,60360-60395,,,5,rapid rise and moderate fade,https://lasair-ztf.lsst.ac.uk/objects/ZTF24aafuvmu/
ZTF24aagnnor,,,n,n,n,n,n,,,,,,,0,no data,not in lasair
ZTF24aahkzvn,,,n,n,y,y,n,,,60385-60395,60391-60400,,,5,rapid rise and fade in r,https://lasair-ztf.lsst.ac.uk/objects/ZTF24aahkzvn/
ZTF24aaifosg,,,n,m,n,m,y,,60403-60408,,60403-60405,,,2,slightly noisy data; possible host UGC08802; z = 0.041,https://www.wis-tns.org/astronotes/astronote/2024-93
ZTF24aascytf,0.038,II,y,y,y,y,y,60476-60477.3,60477.1-60479.5,60476-60477.4,60477.33-60484,,,5,host galaxy redshift,https://www.wis-tns.org/object/2024lhs
ZTF24abvevzs,0.035,IIb,y,y,y,y,n,60646-60649,60648-60655,60646-60649,60648-60655,,,5,,https://www.wis-tns.org/object/2024adec
AT2017gfo,0.00984,Kilonova,n,y,n,y,y,,57980-57993,,57980-57993,,57980-57993,5,using panstarrs as ztf observations,https://www.wis-tns.org/object/2017gfo
